Sequence_category,model,score
human,AB-LSTM,0.571878969669342
human,AB-LSTM,1.386894941329956
human,AB-LSTM,0.8364729881286621
human,AB-LSTM,0.956709086894989
human,AB-LSTM,0.5893697738647461
human,AB-LSTM,1.3035515546798706
human,AB-LSTM,1.1831393241882324
human,AB-LSTM,1.6825799942016602
human,AB-LSTM,0.592401385307312
human,AB-LSTM,0.6997589468955994
human,AB-LSTM,0.778358519077301
human,AB-LSTM,0.5042585730552673
human,AB-LSTM,0.8457097411155701
human,AB-LSTM,0.8153041005134583
human,AB-LSTM,1.0921860933303833
human,AB-LSTM,0.8083099126815796
human,AB-LSTM,1.043141484260559
human,AB-LSTM,0.5207796096801758
human,AB-LSTM,1.0867836475372314
human,AB-LSTM,0.5722401142120361
human,AB-LSTM,1.1282732486724854
human,AB-LSTM,0.5940308570861816
human,AB-LSTM,0.566516101360321
human,AB-LSTM,0.750178337097168
human,AB-LSTM,0.7822187542915344
human,AB-LSTM,1.1365818977355957
human,AB-LSTM,0.9722840785980225
human,AB-LSTM,0.47598227858543396
human,AB-LSTM,0.41861939430236816
human,AB-LSTM,0.48564764857292175
human,AB-LSTM,0.6347078680992126
human,AB-LSTM,1.1135122776031494
human,AB-LSTM,1.0805490016937256
human,AB-LSTM,0.8482369184494019
human,AB-LSTM,0.5405170321464539
human,AB-LSTM,0.9907607436180115
human,AB-LSTM,0.6399624347686768
human,AB-LSTM,0.9581427574157715
human,AB-LSTM,0.5311146974563599
human,AB-LSTM,0.43866124749183655
human,AB-LSTM,0.6985825300216675
human,AB-LSTM,0.5989501476287842
human,AB-LSTM,0.4483284652233124
human,AB-LSTM,0.744736909866333
human,AB-LSTM,1.119226336479187
human,AB-LSTM,0.6479529738426208
human,AB-LSTM,0.5172722339630127
human,AB-LSTM,0.5945188403129578
human,AB-LSTM,0.656584620475769
human,AB-LSTM,0.5493557453155518
human,AB-LSTM,0.8751194477081299
human,AB-LSTM,0.9053628444671631
human,AB-LSTM,0.9893160462379456
human,AB-LSTM,0.7017008662223816
human,AB-LSTM,0.7125446200370789
human,AB-LSTM,0.86885005235672
human,AB-LSTM,1.282111644744873
human,AB-LSTM,0.5356327891349792
