Data type_model,Average MCC on 5x CV,Std dev,Average AUC-ROC,Std dev
adapted_FCNN,0.7308538901926884,0.002142205543569981,0.9700279750988621,0.0007040663835495174
onehot_FCNN,0.7347950306322375,0.008303715919208716,0.9731559676347523,0.0007040515311687675
unirep_FCNN,0.7035896465493108,0.012068925784107074,0.9626984439747414,0.0016839835037960678
adapted_BON,0.6900603066398862,0.005733106723345426,0.9657147078677715,0.0012565526929058024
onehot_BON,0.717043211107021,0.007495198920212977,0.9672299983023855,0.0007793052360266027
protvec_BON,0.6406731101371209,0.002139214556590427,0.9524038669479191,0.0027180160099642527
unirep_BON,0.6235961890561983,0.01044669245191724,0.94658795009014,0.002340639551092919
adapted_RF,0.7007996464208631,0.007149297493690684,0.9599920363004779,0.0021998390389542407
onehot_RF,0.672770315727466,0.002112883489820168,0.9562503323155663,0.001651956991290156
ablang_FCNN,0.7154759584950791,0.003212969724570809,0.9687831754297458,0.0007530499781062867
antiberty_FCNN,0.7092498258819389,0.007632110125700939,0.9684575427600371,0.001164259990926057
ablang_BON,0.6358023199252706,0.014488838570038897,0.9600238388310061,0.0022619135803654353
antiberty_BON,0.6472289854706995,0.00664552256025692,0.9609903772634809,0.002469203366857011
